"freq_hz","gain_db"
0,-120
01000000,-50
31000000,-5
50000000,-10.25
70000000,-11.15
90000000,-15.2
110000000,-7.6
130000000,-6.5
150000000,-8.85
170000000,-11.15
190000000,-14.95
210000000,-15
230000000,-14.5
250000000,-14
270000000,-13.5
290000000,-8.05
300000000,-8.09
328500000,-4.19
357000000,-0.47
385500000,-0.88
414000000,2.79
442500000,3.96
471000000,5.08
499500000,4.07
528000000,5.94
556500000,5.83
585000000,5.68
613500000,5.98
642000000,5
670500000,6.11
699000000,6.34
727500000,5.1
756000000,5.44
784500000,4.43
813000000,4.14
841500000,5.56
870000000,5.95
898500000,6.37
927000000,5.64
955500000,6.9
984000000,6.57
1012500000,5.75
1041000000,4.11
1069500000,4.75
1098000000,5.01
1126500000,5.4
1155000000,5.43
1183500000,4.64
1212000000,5.58
1240500000,5.25
1269000000,5.06
1297500000,5.4
1326000000,5.42
1354500000,5.17
1383000000,5.76
1411500000,5.95
1440000000,5.37
1468500000,5.38
1497000000,4.93
1525500000,4.76
1554000000,4.94
1582500000,5.16
1611000000,5.48
1639500000,5.47
1668000000,5.52
1696500000,5.65
1725000000,5.17
1753500000,5.38
1782000000,5.59
1810500000,5.6
1839000000,5.19
1867500000,5.26
1896000000,5.25
1924500000,4.81
1953000000,4.96
1981500000,5.35
2010000000,5.61
2038500000,5.58
2067000000,5.64
2095500000,5.38
2124000000,5.09
2152500000,5.19
2181000000,4.86
2209500000,5.22
2238000000,5.69
2266500000,5.82
2295000000,5.79
2323500000,5.65
2352000000,5.53
2380500000,5.23
2409000000,5.04
2437500000,4.98
2466000000,4.61
2494500000,4.89
2523000000,5.63
2551500000,6.16
2580000000,5.97
2608500000,5.54
2637000000,5.33
2665500000,5.11
2694000000,4.85
2722500000,4.85
2751000000,5.17
2779500000,5.36
2808000000,5.34
2836500000,5.56
2865000000,5.65
2893500000,5.45
2922000000,5.35
2950500000,5.59
2979000000,5.67
3007500000,5.53
3036000000,5.26
3064500000,5.06
3093000000,5.12
3121500000,5.32
3150000000,5.33
3178500000,5.26
3207000000,5.25
3235500000,5.26
3264000000,5.17
3292500000,5.32
3321000000,5.45
3349500000,5.51
3378000000,5.53
3406500000,5.37
3435000000,4.98
3463500000,4.99
3492000000,5.09
3520500000,5.43
3549000000,5.52
3577500000,5.64
3606000000,5.35
3634500000,5.12
3663000000,5.2
3691500000,5.36
3720000000,5.52
3748500000,5.66
3777000000,5.58
3805500000,5.12
3834000000,5.02
3862500000,4.95
3891000000,4.88
3919500000,5.12
3948000000,5.22
3976500000,5.11
4005000000,5.07
4033500000,5.03
4062000000,5.64
4090500000,5.67
4119000000,5.57
4147500000,5.41
4176000000,5.03
4204500000,4.79
4233000000,4.92
4261500000,5.16
4290000000,5.3
4318500000,5.21
4347000000,5.3
4375500000,4.89
4404000000,4.7
4432500000,5.2
4461000000,5.35
4489500000,5.27
4518000000,5.23
4546500000,5.42
4575000000,5.58
4603500000,5.58
4632000000,5.68
4660500000,5.34
4689000000,5.04
4717500000,5.21
4746000000,5.14
4774500000,4.56
4803000000,4.42
4831500000,4.72
4860000000,4.76
4888500000,4.82
4917000000,4.7
4945500000,4.86
4974000000,4.88
5002500000,4.88
5031000000,4.74
5059500000,5.1
5088000000,5.42
5116500000,5.69
5145000000,5.45
5173500000,5.34
5202000000,5.26
5230500000,5.2
5259000000,5.26
5287500000,5.1
5316000000,4.87
5344500000,4.92
5373000000,4.9
5401500000,4.59
5430000000,4.34
5458500000,3.71
5487000000,3.83
5515500000,3.76
5544000000,3.77
5572500000,4.15
5601000000,4.19
5629500000,4.18
5658000000,4.44
5686500000,4.59
5715000000,4.98
5743500000,4.64
5772000000,4.92
5800500000,4.91
5829000000,4.96
5857500000,5.1
5886000000,5.3
5914500000,5.21
5943000000,5.21
5971500000,4.8
6000000000,4.86
