"freq_hz","gain_db"
0,0
80000000,5.84
81000000,5.9
82000000,5.41
83000000,6.3
84000000,6.48
85000000,6.43
86000000,6.64
87000000,6.52
88000000,6.53
89000000,6.66
90000000,6.61
91000000,6.59
92000000,6.69
93000000,6.73
94000000,6.72
95000000,6.66
96000000,6.49
97000000,6.6
98000000,6.59
99000000,6.55
100000000,6.57
101000000,6.63
102000000,6.74
103000000,6.76
104000000,6.74
105000000,6.79
106000000,6.82
107000000,6.79
108000000,6.74
109000000,6.75
110000000,6.69
111000000,6.62
112000000,6.64
113000000,6.64
114000000,6.65
115000000,6.68
116000000,6.75
117000000,6.75
118000000,6.73
119000000,6.75
120000000,6.71
121000000,6.7
122000000,6.69
123000000,6.61
124000000,6.6
125000000,6.65
126000000,6.67
127000000,6.65
128000000,6.74
129000000,6.8
130000000,6.8
131000000,6.74
132000000,6.74
133000000,6.72
134000000,6.66
135000000,6.64
136000000,6.66
137000000,6.73
138000000,6.73
139000000,6.73
140000000,6.74
141000000,6.77
142000000,6.74
143000000,6.71
144000000,6.74
145000000,6.68
146000000,6.71
147000000,6.81
148000000,6.81
149000000,6.83
150000000,6.79
151000000,6.71
152000000,6.71
153000000,6.71
154000000,6.67
155000000,6.71
156000000,6.71
157000000,6.71
158000000,6.7
159000000,6.62
160000000,6.57
161000000,6.48
162000000,6.47
163000000,6.52
164000000,6.53
165000000,6.44
166000000,6.29
167000000,6.17
168000000,6.11
169000000,6.09
170000000,6.15
171000000,6.24
172000000,6.31
173000000,6.39
174000000,6.48
175000000,6.5
176000000,6.58
177000000,6.65
178000000,6.68
179000000,6.72
180000000,6.75
181000000,6.76
182000000,6.82
183000000,6.86
184000000,6.89
185000000,6.9
186000000,6.86
187000000,6.85
188000000,6.84
189000000,6.82
190000000,6.78
191000000,6.79
192000000,6.8
193000000,6.8
194000000,6.81
195000000,6.78
196000000,6.6
197000000,6.46
198000000,6.74
199000000,6.78
200000000,6.79
201000000,6.8
202000000,6.8
203000000,6.8
204000000,6.82
205000000,6.88
206000000,6.92
207000000,6.94
208000000,6.94
209000000,6.9
210000000,6.86
211000000,6.84
212000000,6.81
213000000,6.79
214000000,6.78
215000000,6.77
216000000,6.74
217000000,6.7
218000000,6.66
219000000,6.58
220000000,6.47
221000000,6.4
222000000,6.34
223000000,6.26
224000000,6.14
225000000,6.41
226000000,6.7
227000000,6.67
228000000,6.66
229000000,6.67
